,Akcje,C/WK,C/Z,Kapitalizacja na koniec miesiąca (mln),Kapitalizacja na koniec okresu (mln),Stopa,Unnamed: 5,Wartość,Wielkość,okres
0,,,,,,dywidendy (%),,księgowa (mln zł),emisji (mln),2002-01
1,Shares,P/BV,P/E,,Market capitalisation at the period-end (mil),Dividend,,Book,Shares,2002-01
2,,,,,PLN EUR %,yield (%),,value (PLN mil),outstanding (mil),2002-01
3,1 TPSA,"1,74","13,2",,"22 540 6 273 18,70",---,,"12 938,45","1 400,00",2002-01
4,2 PEKAO,"2,70","16,3",,"17 321 4 821 14,37",---,,"6 422,75","165,75",2002-01
5,3 PKNORLEN,"1,37","26,2",,"9 370 2 608 7,77","0,2",,"6 862,33","420,18",2002-01
6,4 BANKBPH,"1,59","30,6",,"7 552 2 102 6,27","2,1",,"4 740,06","28,72",2002-01
7,5 HANDLOWY,"1,26","42,7",,"7 509 2 090 6,23","1,4",,"5 940,52","107,58",2002-01
8,6 INGBSK,"2,49","25,6",,"4 488 1 249 3,72","0,6",,"1 804,47","13,01",2002-01
9,7 BZWBK,"2,05","56,4",,"4 443 1 237 3,69","1,0",,"2 167,50","72,96",2002-01
10,8 AGORA,"3,56","16,6",,"3 440 957 2,85",---,,"965,65","56,76",2002-01
11,9 KGHM,"0,82","17,4",,"3 240 902 2,69","6,2",,"3 953,25","200,00",2002-01
12,10 MILLENNIUM,"2,30",x,,"3 142 874 2,61",---,,"1 368,45","849,18",2002-01
13,11 ZYWIEC,"1,31",x,,"3 078 857 2,55","0,6",,"2 343,30","11,34",2002-01
14,12 BRE,"1,29","10,0",,"3 009 838 2,50","3,8",,"2 333,34","22,97",2002-01
15,13 KREDYTB,"1,80","14,7",,"2 840 790 2,36","1,7",,"1 579,68","147,90",2002-01
16,14 PROKOM,"3,48","44,8",,"1 790 498 1,49",---,,"515,18","13,46",2002-01
17,15 SWIECIE,"2,33","9,4",,"1 540 429 1,28","28,7",,"662,22","50,00",2002-01
18,16 ORBIS,"1,03","21,5",,"1 129 314 0,94",---,,"1 094,10","46,08",2002-01
19,17 WARTA,"1,35","23,8",,"979 273 0,81","1,0",,"723,88","8,13",2002-01
20,18 ELEKTRIM,"0,24",x,,"834 232 0,69",---,,"3 436,68","83,77",2002-01
21,19 STOMIL,"1,45","25,6",,"814 227 0,68","1,8",,"562,43","27,22",2002-01
22,20 COMPLAND,"6,02","30,4",,"804 224 0,67",---,,"133,53","6,51",2002-01
23,21 BUDIMEX,"1,45","19,4",,"797 222 0,66",---,,"550,72","25,53",2002-01
24,22 EFL,"1,21","14,0",,"766 213 0,64",---,,"632,35","6,38",2002-01
25,23 BOS,"1,28",x,,"719 200 0,60",---,,"564,10","13,20",2002-01
26,24 KABLEHOLD,"0,95","2932,9",,"622 173 0,52",---,,"651,56","119,57",2002-01
27,25 SOFTBANK,"1,79","34,1",,"534 149 0,44","1,6",,"298,11","17,41",2002-01
28,26 DEBICA,"0,93","41,7",,"525 146 0,44","2,4",,"562,79","13,80",2002-01
29,27 KOGENERA,"0,82","34,4",,"519 144 0,43","2,2",,"630,96","14,90",2002-01
30,28 LGPETRO,"1,68","33,3",,"516 144 0,43",---,,"306,49","22,26",2002-01
31,29 KETY,"1,41","19,8",,"491 137 0,41",---,,"348,21","10,50",2002-01
32,30 DBPBC,"3,34","51,5",,"467 130 0,39",---,,"139,96","336,27",2002-01
33,31 PGF,"2,18",x,,"467 130 0,39",---,,"214,83","12,24",2002-01
34,32 CERSANIT,"3,18","16,0",,"408 114 0,34",---,,"128,22","11,63",2002-01
35,33 JELFA,"1,15","16,7",,"390 108 0,32","1,9",,"339,31","6,80",2002-01
36,34 FORTWRO,"1,02","11,6",,"390 108 0,32",---,,"383,14","50,60",2002-01
37,35 MNI,"3,56",x,,"370 103 0,31",---,,"103,98","13,21",2002-01
38,36 COMARCH,"2,71","26,0",,"343 96 0,28",---,,"126,89","7,23",2002-01
39,37 FORTISPL,"0,70","23,6",,"339 94 0,28",---,,"485,93","15,08",2002-01
40,38 08OCTAVA,"0,89","22,7",,"308 86 0,26",---,,"343,89","30,46",2002-01
41,39 MITEX,"2,60","11,4",,"304 85 0,25",---,,"117,00","20,52",2002-01
42,40 GRAJEWO,"1,35","10,8",,"294 82 0,24",---,,"217,27","5,16",2002-01
43,41 OKOCIM,"0,81",x,,"286 80 0,24",---,,"353,76","22,00",2002-01
44,42 ECHO,"1,31","9,5",,"283 79 0,23",---,,"215,74","3,50",2002-01
45,43 AMICA,"1,01",x,,"283 79 0,23",---,,"279,95","8,74",2002-01
46,44 AMS,"4,55",x,,"270 75 0,22",---,,"59,36","4,22",2002-01
47,45 EXBUD,"7,45",x,,"256 71 0,21",---,,"34,34","15,00",2002-01
48,46 SOKOLOW,"0,75",x,,"256 71 0,21",---,,"340,49","100,19",2002-01
49,47 GRUPAONET,"2,44","74,2",,"248 69 0,21",---,,"101,39","6,88",2002-01
50,48 FARMACOL,"1,37","10,3",,"240 67 0,20",---,,"175,30","7,80",2002-01
51,49 POLFKUTNO,"1,95","11,5",,"233 65 0,19",---,,"119,45","1,92",2002-01
52,50 JUPITER,"0,56",x,,"233 65 0,19","8,0",,"416,94","60,11",2002-01
53,51 POLIFARBC,"0,65","57,6",,"227 63 0,19","3,0",,"351,60","45,36",2002-01
54,52 ORFE,"1,40","9,3",,"225 63 0,19",---,,"160,32","7,96",2002-01
55,53 DZPOLSKA,"1,15","384,3",,"223 62 0,19",---,,"194,85","7,70",2002-01
56,54 MENNICA,"0,86","13,8",,"206 57 0,17","2,1",,"239,17","6,57",2002-01
57,55 09KWIAT,"0,62",x,,"197 55 0,16","2,7",,"315,05","30,06",2002-01
58,56 COMPENSA,"4,20",x,,"196 55 0,16",---,,"46,68","10,60",2002-01
59,57 ICOPAL,"1,57",x,,"178 50 0,15",---,,"113,85","1,15",2002-01
60,58 IMPEXMET,"0,48","27,4",,"174 49 0,14","1,1",,"360,67","10,63",2002-01
61,59 AGROS,"0,59",x,,"165 46 0,14",---,,"281,58","11,00",2002-01
62,60 7BULLS,"2,81",x,,"161 45 0,13",---,,"57,42","15,50",2002-01
