,Spółki krajowe według kapitalizacji (na koniec miesiąca) / Domestic shares by market capitalization (eop),Spółki krajowe według kapitalizacji (na koniec okresu) / Domestic shares by market capitalization (eop),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,okres
0,Wielkość Kapitalizacja na koniec okresu Wartość,,,,Stopa,,2008-01
1,emisji Market capitalization księgowa,,,,dywidendy,,2008-01
2,Lp. Nazwa (mln) (mln zł),,C/Z,C/WK,(%),,2008-01
3,No Security Shares mln zł mln EUR (%) Book,,P/E,P/BV,Dividend,,2008-01
4,name outstanding PLN mil. EUR mil. (%) value,,,,yield,,2008-01
5,(mil.) (PLN mil.),,,,(%),,2008-01
6,"1 PEKAO 262,10 50 822 14 016 11,56 8 684,37",,"24,60","5,85","3,0",,2008-01
7,"2 PKOBP 1 000,00 44 700 12 328 10,17 11 091,30",,"17,10","4,03","2,2",,2008-01
8,"3 TPSA 1 400,00 32 060 8 842 7,29 17 117,00",,"15,70","1,87","6,1",,2008-01
9,"4 PGNIG 5 900,00 25 783 7 111 5,86 21 482,64",,"13,70","1,20","3,9",,2008-01
10,"5 KGHM 200,00 18 050 4 978 4,11 8 486,49",,"5,00","2,13","18,8",,2008-01
11,"6 PKNORLEN 427,71 17 211 4 747 3,91 19 916,10",,"11,60","0,86","0,0",,2008-01
12,"7 BZWBK 72,96 13 571 3 743 3,09 4 215,57",,"14,30","3,22","3,2",,2008-01
13,"8 HANDLOWY 130,66 11 759 3 243 2,67 5 432,50",,"14,90","2,16","4,6",,2008-01
14,"9 BRE 29,65 10 911 3 009 2,48 3 181,93",,"16,00","3,43","0,0",,2008-01
15,"10 GETIN 709,79 8 517 2 349 1,94 3 013,07",,"15,40","2,83","0,0",,2008-01
16,"11 GTC 219,37 7 900 2 179 1,80 3 402,36",,"11,00","2,32","0,0",,2008-01
17,"12 INGBSK 13,01 7 852 2 165 1,79 3 820,34",,"12,40","2,06","4,6",,2008-01
18,"13 TVN 347,91 7 633 2 105 1,74 1 281,56",,"32,40","5,96","1,7",,2008-01
19,"14 MILLENNIUM 849,18 6 624 1 827 1,51 2 519,93",,"14,30","2,63","2,2",,2008-01
20,"15 ZYWIEC 10,74 6 553 1 807 1,49 982,03",,"15,90","6,67","5,1",,2008-01
21,"16 KREDYTB 271,66 5 542 1 528 1,26 2 220,42",,"15,30","2,50","1,8",,2008-01
22,"17 STALPROD 6,73 4 977 1 372 1,13 753,53",,"14,70","6,60","1,3",,2008-01
23,"18 LOTOS 113,70 4 376 1 207 1,00 5 583,07",,"6,90","0,78","0,9",,2008-01
24,"19 CERSANIT 132,95 3 915 1 080 0,89 849,61",,"30,30","4,61","0,0",,2008-01
25,"20 PBG 13,43 3 842 1 060 0,87 718,49",,"43,10","5,35","0,0",,2008-01
26,"21 LPP 1,70 3 492 963 0,79 354,27",,"27,20","9,86","0,0",,2008-01
27,"22 POLIMEXMS 464,36 3 436 948 0,78 947,16",,"40,20","3,63","0,2",,2008-01
28,"23 ASSECOPOL 51,09 3 418 943 0,78 1 454,99",,"26,10","2,35","0,5",,2008-01
29,"24 BIOTON 2 994,09 3 204 884 0,73 993,50",,"28,40","3,22","0,0",,2008-01
30,"25 FORTISPL 16,77 3 190 880 0,73 1 108,43",,"20,70","2,88","0,0",,2008-01
31,"26 SWIECIE 50,00 2 900 800 0,66 931,48",,"9,70","3,11","9,3",,2008-01
32,"27 CIECH 28,00 2 744 757 0,62 1 281,97",,"11,10","2,14","2,1",,2008-01
33,"28 BANKBPH 28,72 2 715 749 0,62 6 845,73",,"1,60","0,40","38,3",,2008-01
34,"29 ECHO 420,00 2 705 746 0,62 1 463,47",,"8,80","1,85","0,0",,2008-01
35,"30 AGORA 54,98 2 584 713 0,59 1 177,24",,"29,00","2,19","3,2",,2008-01
36,"31 ORBIS 46,08 2 580 712 0,59 1 615,86",,"30,50","1,60","0,6",,2008-01
37,"32 KOPEX 67,63 2 471 681 0,56 1 976,47",,"5,40","1,25","0,0",,2008-01
38,"33 ALCHEMIA 224,98 2 432 671 0,55 550,84",,"21,00","4,42","0,0",,2008-01
39,"34 NOBLEBANK 215,18 2 216 611 0,50 494,55",,"20,70","4,48","0,0",,2008-01
40,"35 BUDIMEX 25,53 2 178 601 0,50 505,91",,"0,00","4,30","0,0",,2008-01
41,"36 POLAQUA 27,50 2 173 599 0,49 591,47",,"59,60","3,67","0,0",,2008-01
42,"37 JWCONSTR 54,70 2 106 581 0,48 443,98",,"20,40","4,74","0,0",,2008-01
43,"38 PULAWY 19,12 2 103 580 0,48 1 294,42",,"13,70","1,62","1,5",,2008-01
44,"39 DZPOLSKA 41,00 2 089 576 0,48 244,82",,"102,20","8,53","0,0",,2008-01
45,"40 DOMDEV 24,56 2 063 569 0,47 652,10",,"10,20","3,16","0,2",,2008-01
46,"41 GRAJEWO 49,62 2 046 564 0,47 618,39",,"20,30","3,31","2,6",,2008-01
47,"42 POLNORD 17,48 2 031 560 0,46 790,74",,"26,60","2,57","0,0",,2008-01
48,"43 EMPERIA 14,77 2 024 558 0,46 435,46",,"29,70","4,65","1,1",,2008-01
49,"44 NFIEMF 102,59 2 010 554 0,46 344,68",,"23,10","5,83","0,0",,2008-01
50,"45 CCC 38,40 1 824 503 0,41 181,60",,"34,70","10,04","2,1",,2008-01
51,"46 PETROLINV 5,87 1 780 491 0,40 421,71",,"0,00","4,22","0,0",,2008-01
52,"47 FAMUR 481,50 1 743 481 0,40 531,28",,"19,70","3,28","0,0",,2008-01
53,"48 PROKOM 13,89 1 632 450 0,37 1 122,64",,"5,20","1,45","0,9",,2008-01
54,"49 NETIA 389,28 1 592 439 0,36 1 824,09",,"0,00","0,87","0,0",,2008-01
55,"50 SYNTHOS 1 323,25 1 509 416 0,34 1 275,52",,"3,00","1,18","0,0",,2008-01
