,nazwa,okres,mln_EUR
7,PEKAO,2008-01,14016
8,PKOBP,2008-01,12328
9,TPSA,2008-01,8842
10,PGNIG,2008-01,7111
11,KGHM,2008-01,4978
12,PKNORLEN,2008-01,4747
13,BZWBK,2008-01,3743
14,HANDLOWY,2008-01,3243
15,BRE,2008-01,3009
16,GETIN,2008-01,2349
17,GTC,2008-01,2179
18,INGBSK,2008-01,2165
19,TVN,2008-01,2105
20,MILLENNIUM,2008-01,1827
21,ZYWIEC,2008-01,1807
22,KREDYTB,2008-01,1528
23,STALPROD,2008-01,1372
24,LOTOS,2008-01,1207
25,CERSANIT,2008-01,1080
26,PBG,2008-01,1060
27,LPP,2008-01,963
28,POLIMEXMS,2008-01,948
29,ASSECOPOL,2008-01,943
30,BIOTON,2008-01,884
31,FORTISPL,2008-01,880
32,SWIECIE,2008-01,800
33,CIECH,2008-01,757
34,BANKBPH,2008-01,749
35,ECHO,2008-01,746
36,AGORA,2008-01,713
37,ORBIS,2008-01,712
38,KOPEX,2008-01,681
39,ALCHEMIA,2008-01,671
40,NOBLEBANK,2008-01,611
41,BUDIMEX,2008-01,601
42,POLAQUA,2008-01,599
43,JWCONSTR,2008-01,581
44,PULAWY,2008-01,580
45,DZPOLSKA,2008-01,576
46,DOMDEV,2008-01,569
47,GRAJEWO,2008-01,564
48,POLNORD,2008-01,560
49,EMPERIA,2008-01,558
50,NFIEMF,2008-01,554
51,CCC,2008-01,503
52,PETROLINV,2008-01,491
53,FAMUR,2008-01,481
54,PROKOM,2008-01,450
55,NETIA,2008-01,439
56,SYNTHOS,2008-01,416
57,MMPPL,2008-01,410
58,ULMA,2008-01,384
59,EUROCASH,2008-01,366
60,IMPEXMET,2008-01,364
61,RUCH,2008-01,358
68,PEKAO,2008-02,13104
69,PKOBP,2008-02,11930
70,TPSA,2008-02,8480
71,PGNIG,2008-02,7374
72,KGHM,2008-02,6187
73,PKNORLEN,2008-02,4848
74,BZWBK,2008-02,3585
75,BRE,2008-02,3497
76,HANDLOWY,2008-02,2973
77,GETIN,2008-02,2339
78,TVN,2008-02,2224
79,GTC,2008-02,2094
80,INGBSK,2008-02,2029
81,ZYWIEC,2008-02,1875
82,MILLENNIUM,2008-02,1807
83,KREDYTB,2008-02,1621
84,STALPROD,2008-02,1513
85,PBG,2008-02,1221
86,LOTOS,2008-02,1097
87,LPP,2008-02,1089
88,POLIMEXMS,2008-02,1042
89,FORTISPL,2008-02,1024
90,ASSECOPOL,2008-02,1016
91,CERSANIT,2008-02,1000
92,BIOTON,2008-02,885
93,ECHO,2008-02,799
94,ORBIS,2008-02,754
95,SWIECIE,2008-02,720
96,KOPEX,2008-02,711
97,ALCHEMIA,2008-02,702
98,BANKBPH,2008-02,702
99,AGORA,2008-02,684
100,PULAWY,2008-02,684
101,CIECH,2008-02,676
102,BUDIMEX,2008-02,641
103,POLAQUA,2008-02,640
104,EMPERIA,2008-02,626
105,NFIEMF,2008-02,612
106,NOBLEBANK,2008-02,602
107,JWCONSTR,2008-02,590
108,DZPOLSKA,2008-02,585
109,POLNORD,2008-02,581
110,DOMDEV,2008-02,572
111,FAMUR,2008-02,528
112,PETROLINV,2008-02,500
113,PROKOM,2008-02,489
114,GRAJEWO,2008-02,481
115,CCC,2008-02,447
116,EUROCASH,2008-02,447
117,NETIA,2008-02,440
118,SYNTHOS,2008-02,440
119,MMPPL,2008-02,428
120,INTERCARS,2008-02,410
121,DEBICA,2008-02,408
122,POLICE,2008-02,403
129,PEKAO,2008-03,14670
130,PKOBP,2008-03,12763
131,TPSA,2008-03,8580
132,PGNIG,2008-03,8183
133,KGHM,2008-03,5809
134,PKNORLEN,2008-03,4798
135,BZWBK,2008-03,3818
136,HANDLOWY,2008-03,3287
137,BRE,2008-03,3043
138,GETIN,2008-03,2504
139,GTC,2008-03,2331
140,TVN,2008-03,2266
141,MILLENNIUM,2008-03,1997
142,ZYWIEC,2008-03,1968
143,INGBSK,2008-03,1956
144,KREDYTB,2008-03,1695
145,STALPROD,2008-03,1432
146,PBG,2008-03,1219
147,LOTOS,2008-03,1129
148,LPP,2008-03,1087
149,POLIMEXMS,2008-03,1054
150,ASSECOPOL,2008-03,1052
151,FORTISPL,2008-03,997
152,CERSANIT,2008-03,988
153,ECHO,2008-03,792
154,ORBIS,2008-03,759
155,BANKBPH,2008-03,733
156,BIOTON,2008-03,703
157,PULAWY,2008-03,664
158,AGORA,2008-03,661
159,CIECH,2008-03,659
160,ALCHEMIA,2008-03,655
161,EMPERIA,2008-03,654
162,NOBLEBANK,2008-03,623
163,POLAQUA,2008-03,608
164,SWIECIE,2008-03,608
165,BUDIMEX,2008-03,607
166,KOPEX,2008-03,591
167,POLNORD,2008-03,586
168,NFIEMF,2008-03,583
169,DZPOLSKA,2008-03,558
170,DOMDEV,2008-03,522
171,FAMUR,2008-03,522
172,JWCONSTR,2008-03,507
173,PROKOM,2008-03,504
174,CCC,2008-03,492
175,PETROLINV,2008-03,490
176,EUROCASH,2008-03,465
177,INTERCARS,2008-03,447
178,SYNTHOS,2008-03,413
179,GRAJEWO,2008-03,411
180,NETIA,2008-03,410
181,POLICE,2008-03,399
182,DEBICA,2008-03,398
183,MOSTALZAB,2008-03,391
190,PEKAO,2008-04,14625
191,PKOBP,2008-04,13293
192,TPSA,2008-04,8821
193,PGNIG,2008-04,7127
194,KGHM,2008-04,5930
195,PKNORLEN,2008-04,5189
196,BZWBK,2008-04,3426
197,HANDLOWY,2008-04,3191
198,BRE,2008-04,3086
199,GETIN,2008-04,2500
200,GTC,2008-04,2324
201,TVN,2008-04,2292
202,MILLENNIUM,2008-04,1917
203,INGBSK,2008-04,1874
204,ZYWIEC,2008-04,1863
205,KREDYTB,2008-04,1600
206,ASSECOPOL,2008-04,1384
207,STALPROD,2008-04,1322
208,PBG,2008-04,1145
209,LPP,2008-04,1140
210,LOTOS,2008-04,1093
211,FORTISPL,2008-04,1042
212,POLIMEXMS,2008-04,935
213,CERSANIT,2008-04,864
214,ECHO,2008-04,808
215,PULAWY,2008-04,790
216,ORBIS,2008-04,766
217,BANKBPH,2008-04,739
218,SWIECIE,2008-04,679
219,EMPERIA,2008-04,656
220,AGORA,2008-04,646
221,CIECH,2008-04,635
222,NOBLEBANK,2008-04,628
223,NFIEMF,2008-04,597
224,ALCHEMIA,2008-04,594
225,DZPOLSKA,2008-04,592
226,BUDIMEX,2008-04,581
227,BIOTON,2008-04,575
228,KOPEX,2008-04,567
229,POLAQUA,2008-04,556
230,POLICE,2008-04,545
